,stationid,NAME_station,WHITE HISPANIC,BLACK,ASIAN / PACIFIC ISLANDER,BLACK HISPANIC,WHITE,AMERICAN INDIAN/ALASKAN NATIVE,UNKNOWN
21,22.0,167th St,0.08901163771293641,0.287464159217406,0.020956316410861865,0.06080283353010626,0.01372491145218418,0.010920897284533649,0.5171192443919717
22,23.0,Mets - Willets Point,,,,,,,
23,24.0,Junction Blvd,0.473102499426737,0.01726668195368035,0.15390965374914012,0.018940609951845908,0.02047695482687457,0.010272873194221509,0.30603072689750055
24,25.0,Flushing - Main St,0.07824752812819638,0.06097283782247983,0.722866234799409,0.0031821797931583136,0.06614387998636209,0.002727582679849983,0.06585975679054439
25,26.0,Buhre Ave,0.12348888600025998,0.0705186533212011,0.044845963863252306,0.002859742623163915,0.3577278044975952,0.0055245027947484725,0.395034446899779
26,27.0,3rd Ave - 138th St,0.1666320310335273,0.23967858132446662,0.007793017456359103,0.060854807425879745,0.008762815184261568,0.009940426711000276,0.5063383208645054
27,28.0,Castle Hill Ave,0.1500243783520234,0.15051194539249146,0.18191126279863482,0.027596294490492442,0.046855192588980986,0.0027303754266211604,0.4403705509507557
28,29.0,Brooklyn Bridge - City Hall,0.06455696202531645,0.07267932489451477,0.36455696202531646,0.0073488045007032345,0.39082278481012656,0.015822784810126583,0.08421237693389592
29,30.0,Zerega Ave,0.1344727204432341,0.14799511691238615,0.1942905437130247,0.0375622124143112,0.06751807681472438,0.002723260400037562,0.4154380693022819
30,31.0,Grand Central - 42nd St,0.06039959872930948,0.023658251128573816,0.19415649556930278,0.0005851864236749708,0.6916067547232905,0.0,0.02959371342584852
31,32.0,33rd St,0.03615436696005416,0.026844955991875422,0.1950575490859851,0.0,0.6897765741367637,0.00027081922816519973,0.0518957345971564
32,33.0,96th St,0.10615305447327796,0.055190031610674116,0.10925898698816437,0.008968609865470852,0.627306476512534,0.000808645151804749,0.09231419539807395
33,34.0,77th St,0.051291625649207376,0.011830001018364506,0.07305068060694525,0.0005261549950779049,0.8262330696900777,0.0005770732204080247,0.03649139481991921
34,35.0,Chauncey St,0.05944417007138688,0.6300453463835136,0.018497732680824316,0.047501459165806136,0.06420329546985139,0.000448974094194765,0.17985902213442284
35,36.0,Union St,0.0664409648751587,0.13802067589625777,0.07955988150655946,0.010700683150958226,0.556677347197872,0.0024182334804425366,0.14618221389275135
36,37.0,Elmhurst Ave,0.2550841976668982,0.019522360888207534,0.5012815292116799,0.004024241262845235,0.059884542601863607,0.005126116846719524,0.155077011521786
37,38.0,Ralph Ave,0.014288768529076398,0.7852765108323831,0.014645096921322692,0.03484891676168757,0.039374287343215505,0.001460946408209806,0.11010547320410491
38,39.0,Pelham Pkwy,0.12033037811623853,0.17200878987648707,0.05554292642267182,0.03239372584678336,0.18955065545199667,0.00545578540577404,0.4247177388800485
39,40.0,Gun Hill Rd,0.07036731324803962,0.6149401568303756,0.027961205117622782,0.03827899298390425,0.023627734213784564,0.00877011968633925,0.21605447791993396
40,41.0,Nereid Ave (238 St),0.06459399439992276,0.5885874287921212,0.06044221299604133,0.040166071256155254,0.045283383219078883,0.0021241672298928263,0.19880274210678767
41,42.0,Franklin Ave,0.02687816699713593,0.626386134978336,0.04476022618785342,0.033083645443196,0.19784093412645956,0.004920320188000294,0.06613057207901887
42,43.0,Simpson St,0.11911930176687043,0.23477176656631085,0.014171456375634826,0.05020831432655171,0.015874464008758325,0.004166286531034273,0.5616884104248396
43,44.0,Bronx Park East,0.11688,0.108,0.06584,0.0144,0.25776,0.00584,0.43128
44,45.0,Winthrop St,0.02290149789909228,0.772749141995702,0.024376944542451165,0.03358244859992943,0.07146293742181736,0.0012509221541520993,0.07367610738685569
45,46.0,Van Siclen Ave,0.07708940963491903,0.7241275269033491,0.010761339635924771,0.04807402192497234,0.03122799959770693,0.002966911394951222,0.1057527909081766
46,47.0,149th St - Grand Concourse,0.08682473393506668,0.42044995284925235,0.007072612151421258,0.046275090933584805,0.023508015627104945,0.007948268893978176,0.4079213256095918
47,48.0,161st St - Yankee Stadium,0.12701460589272223,0.24716696046335934,0.01617980357592546,0.06742634097204735,0.026158398388315286,0.00547720977083858,0.5105766809367918
48,49.0,Lexington Ave - 59th St,0.0514969607732095,0.02219956960018122,0.09449918828104353,0.0007928417714350436,0.8132668856420131,0.0006795786612300374,0.017064975270887604
49,50.0,E 149th St,0.10348356097343951,0.22765493615696045,0.016461271522000265,0.051385861102460295,0.006362058993637941,0.0014681674600702942,0.5931841437914313
50,51.0,Morrison Av - Soundview,0.13577660505449626,0.26611684213317777,0.014585377496088467,0.054257604285449096,0.013259434087353151,0.006921424593598346,0.5090827123498369
51,52.0,Whitlock Ave,0.12114088700830591,0.24510264848769786,0.010761113723031918,0.05182050880217312,0.011231259468212924,0.005485033693778405,0.5544585488167999
